Date,RGBITR
2024-10-04,552.38
2024-10-07,550.27
2024-10-08,548.87
2024-10-09,548.89
2024-10-10,550.55
2024-10-11,552.33
2024-10-14,553.77
2024-10-15,554.32
2024-10-16,554.71
2024-10-17,554.49
2024-10-18,553.85
2024-10-21,553.44
2024-10-22,552.73
2024-10-23,552.1
2024-10-24,550.6
2024-10-25,546.68
2024-10-28,540.98
2024-10-29,538.86
2024-10-30,540.74
2024-10-31,536.53
2024-11-01,536.8
2024-11-02,537.92
2024-11-05,538.35
2024-11-06,542.52
2024-11-07,550.01
2024-11-08,553.43
2024-11-11,558.74
2024-11-12,556.85
2024-11-13,559.46
2024-11-14,561.55
2024-11-15,561.43
2024-11-18,560.29
2024-11-19,556.0
2024-11-20,556.01
2024-11-21,553.56
2024-11-22,556.04
2024-11-25,554.76
2024-11-26,553.95
2024-11-27,553.22
2024-11-28,553.47
2024-11-29,553.66
2024-12-02,555.03
2024-12-03,555.74
2024-12-04,555.95
2024-12-05,555.41
2024-12-06,556.76
2024-12-09,557.85
2024-12-10,558.43
2024-12-11,558.74
2024-12-12,557.5
2024-12-13,556.2
2024-12-16,553.99
2024-12-17,553.86
2024-12-18,555.5
2024-12-19,560.84
2024-12-20,579.07
2024-12-23,601.38
2024-12-24,603.27
2024-12-25,599.32
2024-12-26,601.53
2024-12-27,602.08
2024-12-28,603.74
2024-12-30,603.39
2025-01-03,603.94
2025-01-06,602.73
2025-01-08,603.11
2025-01-09,601.72
2025-01-10,599.39
2025-01-13,600.4
2025-01-14,600.58
2025-01-15,598.98
2025-01-16,598.88
2025-01-17,596.71
2025-01-20,598.15
2025-01-21,597.53
2025-01-22,597.33
2025-01-23,596.71
2025-01-24,596.57
2025-01-27,594.27
2025-01-28,592.77
2025-01-29,593.25
2025-01-30,594.11
2025-01-31,592.69
2025-02-03,590.59
2025-02-04,587.62
2025-02-05,586.71
2025-02-06,591.24
2025-02-07,592.44
2025-02-10,593.08
2025-02-11,592.09
2025-02-12,593.96
2025-02-13,611.17
2025-02-14,614.2
2025-02-17,607.48
2025-02-18,608.36
2025-02-19,609.03
2025-02-20,613.32
2025-02-21,614.83
2025-02-24,614.89
2025-02-25,617.0
2025-02-26,618.22
2025-02-27,618.77
2025-02-28,619.81
2025-03-03,620.34
2025-03-04,625.16
2025-03-05,629.75
2025-03-06,634.98
2025-03-07,640.62
2025-03-10,643.01
2025-03-11,639.26
2025-03-12,640.81
2025-03-13,639.51
2025-03-14,643.95
2025-03-17,649.41
2025-03-18,651.84
2025-03-19,651.23
2025-03-20,652.78
2025-03-21,649.59
2025-03-24,644.12
2025-03-25,642.29
2025-03-26,641.78
2025-03-27,636.62
2025-03-28,635.9
2025-03-31,632.42
2025-04-01,634.87
2025-04-02,633.92
2025-04-03,630.84
2025-04-04,625.72
2025-04-07,616.88
2025-04-08,622.78
2025-04-09,616.65
2025-04-10,622.39
2025-04-11,628.91
2025-04-14,630.88
2025-04-15,630.23
2025-04-16,631.54
2025-04-17,635.92
2025-04-18,631.08
2025-04-21,633.58
2025-04-22,635.04
2025-04-23,634.84
2025-04-24,636.66
2025-04-25,638.62
2025-04-28,637.51
2025-04-29,634.38
2025-04-30,633.3
2025-05-02,631.0
2025-05-05,627.57
2025-05-06,628.1
2025-05-07,632.33
2025-05-08,638.1
2025-05-12,639.45
2025-05-13,635.77
2025-05-14,636.55
2025-05-15,636.04
2025-05-16,637.24
2025-05-19,640.88
2025-05-20,640.3
2025-05-21,639.91
2025-05-22,640.85
2025-05-23,642.55
2025-05-26,640.17
2025-05-27,640.25
2025-05-28,641.94
2025-05-29,645.83
2025-05-30,650.15
2025-06-02,653.34
2025-06-03,658.16
2025-06-04,664.86
2025-06-05,665.09
2025-06-06,662.51
2025-06-09,659.24
2025-06-10,664.36
2025-06-11,667.83
2025-06-13,669.58
2025-06-16,667.74
2025-06-17,666.29
2025-06-18,667.53
2025-06-19,672.42
2025-06-20,674.0
2025-06-23,673.45
2025-06-24,672.96
2025-06-25,676.9
2025-06-26,679.51
2025-06-27,681.77
2025-06-30,686.13
2025-07-01,687.99
2025-07-02,688.24
2025-07-03,689.54
2025-07-04,688.83
2025-07-07,689.85
2025-07-08,689.17
2025-07-09,687.97
2025-07-10,689.59
2025-07-11,690.19
2025-07-14,690.14
2025-07-15,696.63
2025-07-16,701.81
2025-07-17,705.02
2025-07-18,706.4
2025-07-21,709.03
2025-07-22,706.45
2025-07-23,707.57
2025-07-24,709.06
2025-07-25,710.93
2025-07-28,715.56
2025-07-29,714.1
2025-07-30,715.45
2025-07-31,716.77
2025-08-01,715.42
2025-08-04,715.59
2025-08-05,716.51
2025-08-06,716.5
2025-08-07,721.21
2025-08-08,724.14
2025-08-11,729.67
2025-08-12,730.45
2025-08-13,730.09
2025-08-14,729.66
2025-08-15,733.94
2025-08-18,735.45
2025-08-19,738.3
2025-08-20,734.3
2025-08-21,729.03
2025-08-22,728.77
2025-08-25,729.25
2025-08-26,728.23
2025-08-27,726.18
2025-08-28,724.78
2025-08-29,721.48
2025-09-01,723.82
2025-09-02,724.44
2025-09-03,726.87
2025-09-04,734.44
2025-09-05,734.04
2025-09-08,737.05
2025-09-09,734.47
2025-09-10,732.27
2025-09-11,729.31
2025-09-12,726.13
2025-09-15,722.85
2025-09-16,721.05
2025-09-17,720.68
2025-09-18,720.67
2025-09-19,714.42
2025-09-22,713.68
2025-09-23,714.33
2025-09-24,711.97
2025-09-25,707.47
2025-09-26,707.99
2025-09-29,705.93
2025-09-30,701.76
2025-10-01,704.52
2025-10-02,700.59
2025-10-03,701.11
2025-10-06,702.87
2025-10-07,704.38
2025-10-08,699.6
2025-10-09,695.4
2025-10-10,697.92
2025-10-13,698.17
2025-10-14,696.95
2025-10-15,697.46
2025-10-16,703.92
2025-10-17,712.38
2025-10-20,711.89
2025-10-21,709.48
2025-10-22,707.92
2025-10-23,704.98
2025-10-24,707.54
2025-10-27,702.27
2025-10-28,705.74
2025-10-29,708.03
2025-10-30,715.5
2025-10-31,714.6
2025-11-01,714.78
2025-11-03,718.18
2025-11-05,718.53
2025-11-06,718.71
2025-11-07,719.41
2025-11-10,723.78
2025-11-11,725.59
2025-11-12,728.25
2025-11-13,731.45
2025-11-14,729.23
2025-11-17,729.94
2025-11-18,730.29
2025-11-19,730.28
2025-11-20,732.05
2025-11-21,733.14
2025-11-24,733.21
2025-11-25,732.39
2025-11-26,729.93
2025-11-27,728.59
2025-11-28,728.42
2025-12-01,728.94
2025-12-02,730.29
2025-12-03,729.85
2025-12-04,735.94
2025-12-05,739.18
2025-12-08,739.41
2025-12-09,738.25
2025-12-10,738.26
2025-12-11,742.13
2025-12-12,744.01
2025-12-15,744.68
2025-12-16,744.15
2025-12-17,744.02
2025-12-18,746.04
2025-12-19,744.78
2025-12-22,741.43
2025-12-23,740.79
2025-12-24,740.57
2025-12-25,736.58
2025-12-26,737.5
2025-12-29,739.95
2025-12-30,742.7
