Date,SU26238RMFS4
2024-07-02,53.587
2024-07-03,53.795
2024-07-04,53.104
2024-07-05,52.762
2024-07-08,53.0
2024-07-09,52.78
2024-07-10,52.546
2024-07-11,52.611
2024-07-12,52.238
2024-07-15,51.69
2024-07-16,51.465
2024-07-17,51.245
2024-07-18,52.1
2024-07-19,52.288
2024-07-22,53.06
2024-07-23,51.891
2024-07-24,52.55
2024-07-25,52.553
2024-07-26,51.385
2024-07-29,51.0
2024-07-30,51.77
2024-07-31,52.735
2024-08-01,53.0
2024-08-02,53.11
2024-08-05,52.55
2024-08-06,53.37
2024-08-07,54.395
2024-08-08,55.415
2024-08-09,55.45
2024-08-12,54.8
2024-08-13,55.209
2024-08-14,53.947
2024-08-15,52.857
2024-08-16,53.05
2024-08-19,52.771
2024-08-20,52.81
2024-08-21,52.898
2024-08-22,52.704
2024-08-23,51.901
2024-08-26,52.042
2024-08-27,52.165
2024-08-28,51.88
2024-08-29,51.904
2024-08-30,51.407
2024-09-02,51.229
2024-09-03,51.5
2024-09-04,52.921
2024-09-05,53.5
2024-09-06,53.86
2024-09-09,54.244
2024-09-10,53.23
2024-09-11,52.51
2024-09-12,52.679
2024-09-13,52.335
2024-09-16,52.74
2024-09-17,52.347
2024-09-18,51.99
2024-09-19,51.7
2024-09-20,52.028
2024-09-23,51.968
2024-09-24,52.143
2024-09-25,52.251
2024-09-26,52.008
2024-09-27,51.899
2024-09-30,51.569
2024-10-01,51.185
2024-10-02,50.702
2024-10-03,50.398
2024-10-04,50.517
2024-10-07,50.05
2024-10-08,50.052
2024-10-09,50.04
2024-10-10,50.458
2024-10-11,50.299
2024-10-14,50.72
2024-10-15,50.733
2024-10-16,50.692
2024-10-17,50.5
2024-10-18,50.422
2024-10-21,50.612
2024-10-22,50.626
2024-10-23,50.443
2024-10-24,50.21
2024-10-25,49.6
2024-10-28,48.8
2024-10-29,48.753
2024-10-30,48.959
2024-10-31,48.528
2024-11-01,48.8
2024-11-02,48.758
2024-11-05,49.178
2024-11-06,49.539
2024-11-07,51.231
2024-11-08,51.29
2024-11-11,51.537
2024-11-12,51.823
2024-11-13,51.9
2024-11-14,52.199
2024-11-15,52.331
2024-11-18,51.58
2024-11-19,50.86
2024-11-20,50.4
2024-11-21,50.54
2024-11-22,50.5
2024-11-25,50.149
2024-11-26,50.222
2024-11-27,50.169
2024-11-28,50.292
2024-11-29,50.685
2024-12-02,50.8
2024-12-03,51.185
2024-12-04,50.969
2024-12-05,51.167
2024-12-06,50.8
2024-12-09,50.81
2024-12-10,50.761
2024-12-11,50.79
2024-12-12,50.188
2024-12-13,49.95
2024-12-16,50.099
2024-12-17,50.969
2024-12-18,51.6
2024-12-19,52.204
2024-12-20,54.456
2024-12-23,56.263
2024-12-24,55.603
2024-12-25,55.327
2024-12-26,55.363
2024-12-27,55.423
2024-12-28,55.846
2024-12-30,55.993
2025-01-03,55.22
2025-01-06,55.083
2025-01-08,54.957
2025-01-09,54.196
2025-01-10,53.8
2025-01-13,53.95
2025-01-14,53.805
2025-01-15,53.615
2025-01-16,53.5
2025-01-17,53.262
2025-01-20,53.4
2025-01-21,53.249
2025-01-22,53.097
2025-01-23,53.133
2025-01-24,52.821
2025-01-27,50.993
2025-01-28,50.7
2025-01-29,51.2
2025-01-30,51.078
2025-01-31,50.8
2025-02-03,50.647
2025-02-04,50.596
2025-02-05,51.163
2025-02-06,51.207
2025-02-07,51.45
2025-02-10,51.282
2025-02-11,51.421
2025-02-12,54.365
2025-02-13,54.3
2025-02-14,52.444
2025-02-17,52.95
2025-02-18,52.46
2025-02-19,52.934
2025-02-20,52.99
2025-02-21,53.33
2025-02-24,53.6
2025-02-25,53.829
2025-02-26,53.34
2025-02-27,53.987
2025-02-28,54.356
2025-03-03,54.107
2025-03-04,54.615
2025-03-05,54.721
2025-03-06,55.7
2025-03-07,55.783
2025-03-10,55.3
2025-03-11,55.145
2025-03-12,55.631
2025-03-13,55.4
2025-03-14,55.754
2025-03-17,56.555
2025-03-18,56.373
2025-03-19,57.271
2025-03-20,56.924
2025-03-21,56.343
2025-03-24,55.51
2025-03-25,55.732
2025-03-26,54.902
2025-03-27,54.609
2025-03-28,54.351
2025-03-31,54.14
2025-04-01,54.069
2025-04-02,54.139
2025-04-03,53.5
2025-04-04,52.629
2025-04-07,51.749
2025-04-08,51.989
2025-04-09,52.417
2025-04-10,52.685
2025-04-11,53.482
2025-04-14,53.36
2025-04-15,53.477
2025-04-16,53.751
2025-04-17,53.773
2025-04-18,53.269
2025-04-21,53.98
2025-04-22,54.07
2025-04-23,53.577
2025-04-24,53.638
2025-04-25,53.538
2025-04-28,53.058
2025-04-29,52.73
2025-04-30,52.999
2025-05-02,52.48
2025-05-05,52.084
2025-05-06,52.258
2025-05-07,52.76
2025-05-08,53.128
2025-05-12,53.02
2025-05-13,52.589
2025-05-14,52.649
2025-05-15,52.55
2025-05-16,52.606
2025-05-19,52.751
2025-05-20,52.81
2025-05-21,52.873
2025-05-22,52.72
2025-05-23,52.753
2025-05-26,52.494
2025-05-27,52.345
2025-05-28,52.961
2025-05-29,53.112
2025-05-30,53.698
2025-06-02,54.323
2025-06-03,54.799
2025-06-04,55.539
2025-06-05,55.295
2025-06-06,54.509
2025-06-09,54.918
2025-06-10,55.079
2025-06-11,55.277
2025-06-13,55.47
2025-06-16,54.911
2025-06-17,54.939
2025-06-18,54.979
2025-06-19,55.41
2025-06-20,55.296
2025-06-23,54.899
2025-06-24,55.16
2025-06-25,55.485
2025-06-26,55.578
2025-06-27,56.079
2025-06-30,56.72
2025-07-01,56.865
2025-07-02,57.125
2025-07-03,56.981
2025-07-04,57.063
2025-07-07,56.771
2025-07-08,56.616
2025-07-09,56.687
2025-07-10,56.867
2025-07-11,56.703
2025-07-14,57.178
2025-07-15,58.025
2025-07-16,58.339
2025-07-17,58.425
2025-07-18,58.9
2025-07-21,59.063
2025-07-22,58.755
2025-07-23,59.043
2025-07-24,59.505
2025-07-25,59.71
2025-07-28,59.501
2025-07-29,59.672
2025-07-30,59.97
2025-07-31,59.8
2025-08-01,59.498
2025-08-04,59.577
2025-08-05,59.504
2025-08-06,59.679
2025-08-07,60.03
