Date,MRKP
2024-03-13,0.3309
2024-03-14,0.3246
2024-03-15,0.3257
2024-03-18,0.33
2024-03-19,0.3225
2024-03-20,0.3223
2024-03-21,0.3274
2024-03-22,0.3237
2024-03-25,0.3264
2024-03-26,0.3297
2024-03-27,0.3331
2024-03-28,0.343
2024-03-29,0.3431
2024-04-01,0.3381
2024-04-02,0.34
2024-04-03,0.3412
2024-04-04,0.3416
2024-04-05,0.339
2024-04-08,0.3465
2024-04-09,0.3545
2024-04-10,0.3613
2024-04-11,0.354
2024-04-12,0.3559
2024-04-15,0.3597
2024-04-16,0.3661
2024-04-17,0.3685
2024-04-18,0.3627
2024-04-19,0.3626
2024-04-22,0.3653
2024-04-23,0.3645
2024-04-24,0.3604
2024-04-25,0.3596
2024-04-26,0.3583
2024-04-27,0.3664
2024-04-29,0.37
2024-04-30,0.3701
2024-05-02,0.3714
2024-05-03,0.3769
2024-05-06,0.3867
2024-05-07,0.3929
2024-05-08,0.3684
2024-05-10,0.3676
2024-05-13,0.3692
2024-05-14,0.3658
2024-05-15,0.3614
2024-05-16,0.3596
2024-05-17,0.3637
2024-05-20,0.3602
2024-05-21,0.3566
2024-05-22,0.3607
2024-05-23,0.3605
2024-05-24,0.3556
2024-05-27,0.3416
2024-05-28,0.3429
2024-05-29,0.3427
2024-05-30,0.3455
2024-05-31,0.3335
2024-06-03,0.3325
2024-06-04,0.3428
2024-06-05,0.3449
2024-06-06,0.3423
2024-06-07,0.3482
2024-06-10,0.3515
2024-06-11,0.3468
2024-06-13,0.3457
2024-06-14,0.3527
2024-06-17,0.3502
2024-06-18,0.3485
2024-06-19,0.337
2024-06-20,0.3502
2024-06-21,0.3481
2024-06-24,0.349
2024-06-25,0.35
2024-06-26,0.3451
2024-06-27,0.341
2024-06-28,0.2929
2024-07-01,0.2948
2024-07-02,0.2988
2024-07-03,0.2953
2024-07-04,0.2953
2024-07-05,0.2855
2024-07-08,0.2772
2024-07-09,0.262
2024-07-10,0.2574
2024-07-11,0.2756
2024-07-12,0.2896
2024-07-15,0.2846
2024-07-16,0.2828
2024-07-17,0.28
2024-07-18,0.2819
2024-07-19,0.2862
2024-07-22,0.2915
2024-07-23,0.2914
2024-07-24,0.2933
2024-07-25,0.3029
2024-07-26,0.3012
2024-07-29,0.2916
2024-07-30,0.297
2024-07-31,0.2966
2024-08-01,0.2974
2024-08-02,0.298
2024-08-05,0.2878
2024-08-06,0.2914
2024-08-07,0.2997
2024-08-08,0.2973
2024-08-09,0.296
2024-08-12,0.2974
2024-08-13,0.3063
2024-08-14,0.3028
2024-08-15,0.3055
2024-08-16,0.305
2024-08-19,0.3017
2024-08-20,0.3005
2024-08-21,0.3028
2024-08-22,0.3
2024-08-23,0.2932
2024-08-26,0.301
2024-08-27,0.3035
2024-08-28,0.3005
2024-08-29,0.3034
2024-08-30,0.2909
2024-09-02,0.2761
2024-09-03,0.2771
2024-09-04,0.2816
2024-09-05,0.29
2024-09-06,0.2907
2024-09-09,0.3015
2024-09-10,0.3076
2024-09-11,0.31
2024-09-12,0.3051
2024-09-13,0.3064
2024-09-16,0.314
2024-09-17,0.3126
2024-09-18,0.3148
2024-09-19,0.3181
2024-09-20,0.3231
2024-09-23,0.3293
2024-09-24,0.3277
2024-09-25,0.325
2024-09-26,0.327
2024-09-27,0.3285
2024-09-30,0.3285
2024-10-01,0.3278
2024-10-02,0.328
2024-10-03,0.3275
2024-10-04,0.3321
2024-10-07,0.3323
2024-10-08,0.3324
2024-10-09,0.3255
2024-10-10,0.3296
2024-10-11,0.3288
2024-10-14,0.3322
2024-10-15,0.3329
2024-10-16,0.3321
2024-10-17,0.3299
2024-10-18,0.3289
2024-10-21,0.3294
2024-10-22,0.3239
2024-10-23,0.3207
2024-10-24,0.3231
2024-10-25,0.315
2024-10-28,0.3044
2024-10-29,0.3174
2024-10-30,0.3212
2024-10-31,0.312
2024-11-01,0.3166
2024-11-02,0.3167
2024-11-05,0.3195
2024-11-06,0.323
2024-11-07,0.3249
2024-11-08,0.3299
2024-11-11,0.3412
2024-11-12,0.3374
2024-11-13,0.341
2024-11-14,0.3401
2024-11-15,0.3415
2024-11-18,0.3439
2024-11-19,0.3351
2024-11-20,0.3394
2024-11-21,0.3362
2024-11-22,0.341
2024-11-25,0.3376
2024-11-26,0.3161
2024-11-27,0.3135
2024-11-28,0.3282
2024-11-29,0.3307
2024-12-02,0.33
2024-12-03,0.3241
2024-12-04,0.3207
2024-12-05,0.3185
2024-12-06,0.3225
2024-12-09,0.3323
2024-12-10,0.3244
2024-12-11,0.3189
2024-12-12,0.3156
2024-12-13,0.3176
2024-12-16,0.31
2024-12-17,0.2991
2024-12-18,0.3138
2024-12-19,0.3238
2024-12-20,0.3329
2024-12-23,0.3284
2024-12-24,0.3319
2024-12-25,0.3348
2024-12-26,0.3384
2024-12-27,0.338
2024-12-28,0.3406
2024-12-30,0.3457
2025-01-03,0.3428
2025-01-06,0.3408
2025-01-08,0.3491
2025-01-09,0.3421
2025-01-10,0.3472
2025-01-13,0.3539
2025-01-14,0.3572
2025-01-15,0.352
2025-01-16,0.3604
2025-01-17,0.357
2025-01-20,0.3524
2025-01-21,0.3526
2025-01-22,0.3569
2025-01-23,0.3621
2025-01-24,0.371
2025-01-27,0.3653
2025-01-28,0.372
2025-01-29,0.3692
2025-01-30,0.3722
2025-01-31,0.3695
2025-02-03,0.3698
2025-02-04,0.3677
2025-02-05,0.37
2025-02-06,0.373
2025-02-07,0.3783
2025-02-10,0.3804
2025-02-11,0.3797
2025-02-12,0.379
2025-02-13,0.385
2025-02-14,0.358
2025-02-17,0.3654
2025-02-18,0.363
2025-02-19,0.3653
2025-02-20,0.37
2025-02-21,0.3737
2025-02-24,0.383
2025-02-25,0.3771
2025-02-26,0.3696
2025-02-27,0.3656
2025-02-28,0.3631
2025-03-03,0.3534
2025-03-04,0.3632
2025-03-05,0.3605
2025-03-06,0.3581
2025-03-07,0.354
2025-03-10,0.3565
2025-03-11,0.348
2025-03-12,0.3495
2025-03-13,0.3423
2025-03-14,0.3513
2025-03-17,0.3553
2025-03-18,0.369
2025-03-19,0.373
2025-03-20,0.38
2025-03-21,0.3761
2025-03-24,0.375
2025-03-25,0.3756
2025-03-26,0.376
2025-03-27,0.3736
2025-03-28,0.3751
2025-03-31,0.3753
