Date,PLZL
2023-07-10,10959.5
2023-07-11,10756.0
2023-07-12,10774.0
2023-07-13,10728.0
2023-07-14,10823.0
2023-07-17,11152.0
2023-07-18,11411.0
2023-07-19,11438.0
2023-07-20,11521.5
2023-07-21,11546.0
2023-07-24,11524.5
2023-07-25,11643.0
2023-07-26,11615.0
2023-07-27,11659.5
2023-07-28,11685.0
2023-07-31,11892.0
2023-08-01,11785.0
2023-08-02,11799.5
2023-08-03,11820.5
2023-08-04,11622.5
2023-08-07,11639.5
2023-08-08,11504.5
2023-08-09,11505.5
2023-08-10,11697.5
2023-08-11,11678.0
2023-08-14,11471.0
2023-08-15,11521.5
2023-08-16,11268.5
2023-08-17,11317.0
2023-08-18,11588.0
2023-08-21,11491.5
2023-08-22,11420.0
2023-08-23,11404.5
2023-08-24,11468.0
2023-08-25,11455.0
2023-08-28,11748.0
2023-08-29,11674.0
2023-08-30,11670.5
2023-08-31,11671.0
2023-09-01,11824.0
2023-09-04,12073.0
2023-09-05,12037.0
2023-09-06,11857.0
2023-09-07,11653.5
2023-09-08,11389.0
2023-09-11,11395.5
2023-09-12,11471.0
2023-09-13,11488.5
2023-09-14,11456.5
2023-09-15,11593.5
2023-09-18,11642.0
2023-09-19,11352.0
2023-09-20,11418.5
2023-09-21,11161.0
2023-09-22,11159.0
2023-09-25,11032.0
2023-09-26,11094.0
2023-09-27,11223.0
2023-09-28,11237.0
2023-09-29,11418.0
2023-10-02,11181.0
2023-10-03,11396.0
2023-10-04,11370.0
2023-10-05,11362.5
2023-10-06,11486.5
2023-10-09,11627.0
2023-10-10,11569.5
2023-10-11,11457.0
2023-10-12,11513.5
2023-10-13,11686.0
2023-10-16,11715.5
2023-10-17,11849.5
2023-10-18,11928.5
2023-10-19,11887.5
2023-10-20,11829.0
2023-10-23,11797.0
2023-10-24,11759.0
2023-10-25,11756.0
2023-10-26,11577.0
2023-10-27,11726.0
2023-10-30,11650.0
2023-10-31,11323.0
2023-11-01,11472.5
2023-11-02,11400.5
2023-11-03,11413.5
2023-11-06,11363.5
2023-11-07,11351.5
2023-11-08,11294.5
2023-11-09,11285.5
2023-11-10,11179.0
2023-11-13,11256.0
2023-11-14,11308.5
2023-11-15,11263.0
2023-11-16,11207.0
2023-11-17,11220.0
2023-11-20,11209.0
2023-11-21,11338.5
2023-11-22,11313.0
2023-11-23,11339.5
2023-11-24,11205.0
2023-11-27,11001.5
2023-11-28,11195.0
2023-11-29,11079.5
2023-11-30,10798.0
2023-12-01,10971.5
2023-12-04,10710.0
2023-12-05,10752.5
2023-12-06,10551.5
2023-12-07,10602.0
2023-12-08,10508.0
2023-12-11,10050.5
2023-12-12,9976.0
2023-12-13,10061.0
2023-12-14,9885.0
2023-12-15,10194.0
2023-12-18,10242.5
2023-12-19,10403.5
2023-12-20,10626.5
2023-12-21,10593.5
2023-12-22,10555.5
2023-12-25,10496.5
2023-12-26,10613.0
2023-12-27,10670.0
2023-12-28,10619.5
2023-12-29,10674.5
2024-01-03,10830.0
2024-01-04,10862.5
2024-01-05,10800.0
2024-01-08,10900.0
2024-01-09,10898.5
2024-01-10,10809.0
2024-01-11,10851.5
2024-01-12,10999.0
2024-01-15,11049.0
2024-01-16,10995.5
2024-01-17,10966.0
2024-01-18,11030.5
2024-01-19,11003.0
2024-01-22,11063.0
2024-01-23,11052.0
2024-01-24,10936.0
2024-01-25,10951.5
2024-01-26,10958.0
2024-01-29,10981.0
2024-01-30,11077.5
2024-01-31,11413.0
2024-02-01,11373.0
2024-02-02,11295.0
2024-02-05,11320.0
2024-02-06,11310.0
2024-02-07,11390.0
2024-02-08,11152.0
2024-02-09,11167.0
2024-02-12,11111.0
2024-02-13,11080.0
2024-02-14,10999.0
2024-02-15,11038.0
2024-02-16,10846.0
2024-02-19,10927.5
2024-02-20,10735.5
2024-02-21,10728.0
2024-02-22,10774.0
2024-02-26,11002.0
2024-02-27,10904.5
2024-02-28,11045.5
2024-02-29,11014.0
2024-03-01,11005.0
2024-03-04,11592.0
2024-03-05,11365.5
2024-03-06,11752.0
2024-03-07,11702.5
2024-03-11,11741.5
2024-03-12,11646.0
2024-03-13,11870.0
2024-03-14,11752.5
2024-03-15,11760.0
2024-03-18,11673.0
2024-03-19,11534.0
2024-03-20,11759.5
2024-03-21,11666.0
2024-03-22,11406.0
2024-03-25,11481.0
2024-03-26,11573.5
2024-03-27,11523.0
2024-03-28,11716.5
2024-03-29,11985.0
2024-04-01,12450.0
2024-04-02,13000.0
2024-04-03,13313.5
2024-04-04,13105.0
2024-04-05,13363.5
2024-04-08,13455.0
2024-04-09,13920.0
2024-04-10,13710.5
2024-04-11,14158.0
2024-04-12,14562.5
2024-04-15,14569.5
2024-04-16,14469.0
2024-04-17,14130.5
2024-04-18,14235.0
2024-04-19,14253.5
2024-04-22,13861.0
2024-04-23,13600.0
2024-04-24,13311.0
2024-04-25,13592.0
2024-04-26,13784.5
2024-04-27,13712.5
2024-04-29,13577.5
2024-04-30,13226.0
2024-05-02,13301.0
2024-05-03,13202.5
2024-05-06,13635.0
2024-05-07,13515.0
2024-05-08,13489.0
2024-05-10,13910.0
2024-05-13,13950.0
2024-05-14,13905.0
2024-05-15,14335.0
2024-05-16,14170.0
2024-05-17,14355.5
2024-05-20,14498.0
2024-05-21,14467.0
2024-05-22,13915.5
2024-05-23,13938.5
2024-05-24,13770.0
2024-05-27,13371.0
2024-05-28,13085.0
2024-05-29,12809.0
2024-05-30,12560.0
2024-05-31,12280.0
2024-06-03,12556.5
2024-06-04,12319.5
2024-06-05,12460.0
2024-06-06,12598.5
2024-06-07,12367.5
2024-06-10,12099.5
2024-06-11,12052.5
2024-06-13,12029.5
2024-06-14,12331.5
2024-06-17,12078.0
2024-06-18,11861.5
2024-06-19,11333.0
2024-06-20,11898.0
2024-06-21,11859.5
2024-06-24,11722.0
2024-06-25,11759.0
2024-06-26,11892.0
2024-06-27,12109.0
2024-06-28,12098.0
2024-07-01,12185.0
2024-07-02,12470.0
2024-07-03,12350.5
2024-07-04,12140.0
2024-07-05,12416.5
2024-07-08,12207.5
2024-07-09,11890.0
2024-07-10,11408.5
2024-07-11,12207.5
2024-07-12,12300.0
2024-07-15,11959.0
2024-07-16,12539.5
2024-07-17,12801.5
2024-07-18,12745.5
2024-07-19,12713.0
2024-07-22,12908.0
2024-07-23,13028.0
2024-07-24,12959.5
2024-07-25,12753.0
2024-07-26,12605.5
2024-07-29,12283.0
2024-07-30,12725.0
2024-07-31,12929.5
2024-08-01,12850.0
2024-08-02,12607.0
2024-08-05,12297.0
2024-08-06,12379.0
2024-08-07,12326.0
2024-08-08,12368.5
2024-08-09,12305.0
2024-08-12,12731.5
2024-08-13,12832.5
2024-08-14,12572.0
2024-08-15,12591.5
2024-08-16,12714.5
2024-08-19,12703.0
2024-08-20,12985.5
2024-08-21,12987.0
2024-08-22,12614.5
2024-08-23,12745.0
2024-08-26,12949.0
2024-08-27,12952.5
