Date,MGNT
2022-12-27,4425.5
2022-12-28,4414.5
2022-12-29,4407.5
2022-12-30,4340.5
2023-01-03,4360.5
2023-01-04,4369.0
2023-01-05,4325.5
2023-01-06,4319.5
2023-01-09,4330.0
2023-01-10,4372.5
2023-01-11,4458.0
2023-01-12,4638.0
2023-01-13,4620.0
2023-01-16,4674.0
2023-01-17,4628.0
2023-01-18,4575.5
2023-01-19,4504.5
2023-01-20,4575.5
2023-01-23,4634.5
2023-01-24,4586.5
2023-01-25,4597.0
2023-01-26,4602.0
2023-01-27,4609.0
2023-01-30,4653.5
2023-01-31,4665.0
2023-02-01,4647.0
2023-02-02,4694.0
2023-02-03,4665.0
2023-02-06,4720.0
2023-02-07,4757.0
2023-02-08,4698.0
2023-02-09,4696.0
2023-02-10,4683.5
2023-02-13,4689.0
2023-02-14,4621.0
2023-02-15,4432.5
2023-02-16,4430.0
2023-02-17,4447.5
2023-02-20,4481.5
2023-02-21,4566.0
2023-02-22,4549.5
2023-02-24,4559.5
2023-02-27,4643.0
2023-02-28,4594.0
2023-03-01,4567.0
2023-03-02,4524.0
2023-03-03,4546.5
2023-03-06,4559.0
2023-03-07,4553.0
2023-03-09,4551.5
2023-03-10,4524.0
2023-03-13,4527.5
2023-03-14,4539.5
2023-03-15,4500.0
2023-03-16,4492.0
2023-03-17,4504.0
2023-03-20,4562.5
2023-03-21,4518.0
2023-03-22,4510.0
2023-03-23,4491.0
2023-03-24,4495.0
2023-03-27,4516.0
2023-03-28,4512.5
2023-03-29,4527.5
2023-03-30,4583.0
2023-03-31,4610.0
2023-04-03,4582.0
2023-04-04,4565.0
2023-04-05,4554.0
2023-04-06,4571.5
2023-04-07,4574.0
2023-04-10,4624.0
2023-04-11,4552.5
2023-04-12,4576.5
2023-04-13,4555.0
2023-04-14,4575.0
2023-04-17,4677.5
2023-04-18,4844.5
2023-04-19,4730.5
2023-04-20,4806.5
2023-04-21,4808.0
2023-04-24,4817.5
2023-04-25,4789.0
2023-04-26,4756.5
2023-04-27,4765.0
2023-04-28,4686.5
2023-05-02,4585.5
2023-05-03,4442.0
2023-05-04,4450.0
2023-05-05,4422.5
2023-05-08,4416.0
2023-05-10,4529.5
2023-05-11,4518.0
2023-05-12,4470.5
2023-05-15,4519.5
2023-05-16,4614.0
2023-05-17,4605.5
2023-05-18,4578.5
2023-05-19,4619.0
2023-05-22,4631.0
2023-05-23,4419.0
2023-05-24,4208.5
2023-05-25,4040.0
2023-05-26,4139.0
2023-05-29,4121.0
2023-05-30,4178.0
2023-05-31,4293.5
2023-06-01,4370.0
2023-06-02,4323.5
2023-06-05,4213.5
2023-06-06,4234.5
2023-06-07,4250.5
2023-06-08,4260.0
2023-06-09,4230.0
2023-06-13,4365.0
2023-06-14,4351.0
2023-06-15,4513.0
2023-06-16,4896.5
2023-06-19,4885.0
2023-06-20,4898.0
2023-06-21,4982.5
2023-06-22,4901.0
2023-06-23,4725.0
2023-06-26,4779.5
2023-06-27,4837.5
2023-06-28,5190.0
2023-06-29,5133.0
2023-06-30,5156.0
2023-07-03,5267.0
2023-07-04,5270.0
2023-07-05,5346.5
2023-07-06,5289.0
2023-07-07,5325.0
2023-07-10,5490.0
2023-07-11,5511.0
2023-07-12,5495.0
2023-07-13,5487.5
2023-07-14,5506.0
2023-07-17,5563.5
2023-07-18,5683.0
2023-07-19,5647.0
2023-07-20,5496.0
2023-07-21,5733.0
2023-07-24,5816.5
2023-07-25,5900.0
2023-07-26,5825.0
2023-07-27,5801.5
2023-07-28,5803.0
2023-07-31,5797.5
2023-08-01,5760.5
2023-08-02,5796.5
2023-08-03,5808.0
2023-08-04,5657.5
2023-08-07,5590.0
2023-08-08,5666.5
2023-08-09,5607.0
2023-08-10,5718.0
2023-08-11,5691.0
2023-08-14,5522.5
2023-08-15,5549.5
2023-08-16,5500.0
2023-08-17,5557.0
2023-08-18,5666.0
2023-08-21,5918.0
2023-08-22,5902.0
2023-08-23,5726.0
2023-08-24,5865.0
2023-08-25,5888.0
2023-08-28,5984.5
2023-08-29,5978.0
2023-08-30,5935.5
2023-08-31,6080.0
2023-09-01,6078.0
2023-09-04,6102.0
2023-09-05,6035.0
2023-09-06,5906.0
2023-09-07,5745.5
2023-09-08,5704.5
2023-09-11,5605.0
2023-09-12,5784.5
2023-09-13,5654.5
2023-09-14,5795.0
2023-09-15,5795.0
2023-09-18,5775.0
2023-09-19,5558.0
2023-09-20,5491.0
2023-09-21,5283.0
2023-09-22,5475.0
