Date,ROSN
2024-02-02,583.95
2024-02-05,592.0
2024-02-06,593.55
2024-02-07,589.7
2024-02-08,587.75
2024-02-09,589.75
2024-02-12,588.95
2024-02-13,592.75
2024-02-14,590.05
2024-02-15,589.15
2024-02-16,585.5
2024-02-19,586.25
2024-02-20,572.1
2024-02-21,562.35
2024-02-22,562.35
2024-02-26,575.55
2024-02-27,568.2
2024-02-28,568.5
2024-02-29,578.0
2024-03-01,577.45
2024-03-04,582.5
2024-03-05,585.55
2024-03-06,585.15
2024-03-07,589.45
2024-03-11,588.35
2024-03-12,588.25
2024-03-13,581.45
2024-03-14,584.0
2024-03-15,584.2
2024-03-18,583.1
2024-03-19,565.35
2024-03-20,560.3
2024-03-21,562.8
2024-03-22,554.2
2024-03-25,558.05
2024-03-26,556.1
2024-03-27,555.4
2024-03-28,565.75
2024-03-29,565.75
2024-04-01,568.85
2024-04-02,572.9
2024-04-03,576.9
2024-04-04,578.05
2024-04-05,576.1
2024-04-08,574.5
2024-04-09,568.4
2024-04-10,573.2
2024-04-11,575.25
2024-04-12,576.15
2024-04-15,589.75
2024-04-16,589.1
2024-04-17,584.35
2024-04-18,579.15
2024-04-19,585.35
2024-04-22,583.15
2024-04-23,580.85
2024-04-24,576.3
2024-04-25,579.8
2024-04-26,581.3
2024-04-27,581.2
2024-04-29,583.15
2024-04-30,582.0
2024-05-02,582.3
2024-05-03,582.3
2024-05-06,579.05
2024-05-07,579.95
2024-05-08,578.5
2024-05-10,579.4
2024-05-13,589.45
2024-05-14,589.8
2024-05-15,599.2
2024-05-16,592.6
2024-05-17,591.95
2024-05-20,591.9
2024-05-21,594.6
2024-05-22,596.85
2024-05-23,593.15
2024-05-24,585.1
2024-05-27,578.25
2024-05-28,573.0
2024-05-29,575.65
2024-05-30,566.4
2024-05-31,556.65
2024-06-03,562.95
2024-06-04,568.95
2024-06-05,562.2
2024-06-06,566.3
2024-06-07,571.65
2024-06-10,563.25
2024-06-11,562.85
2024-06-13,555.5
2024-06-14,565.1
2024-06-17,566.7
2024-06-18,554.45
2024-06-19,536.0
2024-06-20,555.0
2024-06-21,550.05
2024-06-24,547.45
2024-06-25,558.5
2024-06-26,561.2
2024-06-27,559.8
2024-06-28,565.25
2024-07-01,576.9
2024-07-02,573.0
2024-07-03,573.9
2024-07-04,561.35
2024-07-05,555.85
2024-07-08,560.1
2024-07-09,524.6
2024-07-10,502.5
2024-07-11,526.7
2024-07-12,527.4
2024-07-15,508.0
2024-07-16,516.9
2024-07-17,510.45
2024-07-18,517.25
2024-07-19,524.15
2024-07-22,531.85
2024-07-23,530.55
2024-07-24,532.25
2024-07-25,532.45
2024-07-26,521.4
2024-07-29,503.2
2024-07-30,513.95
2024-07-31,515.95
2024-08-01,506.4
2024-08-02,504.8
2024-08-05,493.9
2024-08-06,496.15
2024-08-07,508.45
2024-08-08,503.2
2024-08-09,505.7
2024-08-12,501.7
2024-08-13,502.5
2024-08-14,495.8
2024-08-15,493.75
2024-08-16,489.7
2024-08-19,483.7
2024-08-20,481.5
2024-08-21,480.95
2024-08-22,475.8
2024-08-23,478.75
2024-08-26,489.55
2024-08-27,477.5
2024-08-28,479.05
2024-08-29,482.95
2024-08-30,475.85
2024-09-02,455.05
2024-09-03,468.85
2024-09-04,477.75
2024-09-05,477.15
2024-09-06,479.1
2024-09-09,493.8
2024-09-10,482.35
2024-09-11,477.75
2024-09-12,488.45
2024-09-13,498.0
2024-09-16,516.3
2024-09-17,517.95
2024-09-18,510.25
2024-09-19,512.55
2024-09-20,528.15
2024-09-23,526.1
2024-09-24,522.1
2024-09-25,512.4
2024-09-26,512.7
2024-09-27,511.0
2024-09-30,507.4
2024-10-01,509.75
2024-10-02,499.95
2024-10-03,500.0
2024-10-04,501.9
2024-10-07,503.5
2024-10-08,501.8
2024-10-09,495.85
2024-10-10,497.75
2024-10-11,492.15
2024-10-14,496.0
2024-10-15,498.4
2024-10-16,496.45
2024-10-17,486.95
2024-10-18,487.8
2024-10-21,484.7
2024-10-22,479.0
2024-10-23,469.0
2024-10-24,469.75
2024-10-25,456.1
2024-10-28,434.75
2024-10-29,442.35
2024-10-30,439.05
2024-10-31,434.1
2024-11-01,444.35
2024-11-02,457.0
2024-11-05,460.5
2024-11-06,466.85
2024-11-07,475.5
2024-11-08,481.5
2024-11-11,490.6
2024-11-12,482.05
2024-11-13,480.35
2024-11-14,473.3
2024-11-15,480.1
2024-11-18,471.95
2024-11-19,459.7
2024-11-20,449.25
2024-11-21,458.95
2024-11-22,459.9
2024-11-25,453.65
2024-11-26,450.8
2024-11-27,474.15
2024-11-28,474.85
2024-11-29,478.0
2024-12-02,489.3
2024-12-03,490.5
2024-12-04,473.1
2024-12-05,488.2
2024-12-06,485.3
2024-12-09,491.05
2024-12-10,484.6
2024-12-11,488.75
2024-12-12,485.45
2024-12-13,483.65
2024-12-16,477.4
2024-12-17,480.65
2024-12-18,487.7
2024-12-19,506.15
2024-12-20,559.6
2024-12-23,569.9
2024-12-24,572.7
2024-12-25,581.95
2024-12-26,579.1
2024-12-27,591.0
2024-12-28,596.0
2024-12-30,606.05
2025-01-03,596.1
2025-01-06,588.45
2025-01-08,593.45
2025-01-09,574.8
2025-01-10,562.95
2025-01-13,545.5
2025-01-14,540.35
2025-01-15,547.6
2025-01-16,546.4
2025-01-17,554.9
2025-01-20,537.7
2025-01-21,542.1
2025-01-22,540.0
2025-01-23,539.1
2025-01-24,535.85
2025-01-27,516.35
2025-01-28,534.85
2025-01-29,535.6
2025-01-30,534.85
2025-01-31,526.8
2025-02-03,519.2
2025-02-04,518.95
2025-02-05,522.05
2025-02-06,528.2
2025-02-07,530.25
2025-02-10,533.15
2025-02-11,538.9
2025-02-12,577.85
2025-02-13,573.3
2025-02-14,561.95
2025-02-17,585.2
2025-02-18,574.2
