Date,SBER
2024-10-14,261.28
2024-10-15,262.03
2024-10-16,259.5
2024-10-17,256.57
2024-10-18,257.19
2024-10-21,258.21
2024-10-22,255.42
2024-10-23,252.01
2024-10-24,252.64
2024-10-25,246.35
2024-10-28,242.56
2024-10-29,242.66
2024-10-30,241.45
2024-10-31,237.9
2024-11-01,238.03
2024-11-02,238.97
2024-11-05,239.23
2024-11-06,243.6
2024-11-07,250.93
2024-11-08,255.98
2024-11-11,260.73
2024-11-12,255.77
2024-11-13,254.7
2024-11-14,249.52
2024-11-15,253.43
2024-11-18,248.72
2024-11-19,240.59
2024-11-20,237.05
2024-11-21,240.47
2024-11-22,236.0
2024-11-25,227.81
2024-11-26,223.16
2024-11-27,226.3
2024-11-28,228.56
2024-11-29,236.49
2024-12-02,235.17
2024-12-03,230.8
2024-12-04,224.55
2024-12-05,233.48
2024-12-06,237.84
2024-12-09,237.29
2024-12-10,230.82
2024-12-11,234.19
2024-12-12,229.02
2024-12-13,228.7
2024-12-16,225.53
2024-12-17,226.5
2024-12-18,230.15
2024-12-19,229.0
2024-12-20,257.6
2024-12-23,264.9
2024-12-24,264.34
2024-12-25,271.69
2024-12-26,269.56
2024-12-27,271.2
2024-12-28,272.83
2024-12-30,279.43
2025-01-03,272.25
2025-01-06,274.37
2025-01-08,277.0
2025-01-09,271.8
2025-01-10,278.77
2025-01-13,279.8
2025-01-14,279.85
2025-01-15,282.77
2025-01-16,281.8
2025-01-17,283.53
2025-01-20,278.19
2025-01-21,281.85
2025-01-22,280.36
2025-01-23,280.49
2025-01-24,280.74
2025-01-27,275.23
2025-01-28,278.35
2025-01-29,280.36
2025-01-30,281.97
2025-01-31,280.73
2025-02-03,279.55
2025-02-04,277.4
2025-02-05,282.88
2025-02-06,287.15
2025-02-07,285.81
2025-02-10,289.94
2025-02-11,294.06
2025-02-12,314.0
2025-02-13,310.1
2025-02-14,309.87
2025-02-17,319.5
2025-02-18,312.95
2025-02-19,315.91
2025-02-20,315.05
2025-02-21,314.74
2025-02-24,316.03
2025-02-25,316.97
2025-02-26,310.22
2025-02-27,307.1
2025-02-28,309.63
2025-03-03,305.5
2025-03-04,316.4
2025-03-05,313.56
2025-03-06,315.18
2025-03-07,316.92
2025-03-10,317.57
2025-03-11,319.69
2025-03-12,318.39
2025-03-13,316.37
2025-03-14,320.51
2025-03-17,326.02
2025-03-18,324.06
2025-03-19,325.3
2025-03-20,324.05
2025-03-21,323.26
2025-03-24,319.47
2025-03-25,319.8
2025-03-26,315.23
2025-03-27,311.96
2025-03-28,308.04
2025-03-31,309.72
2025-04-01,303.24
2025-04-02,306.11
2025-04-03,302.09
2025-04-04,285.35
2025-04-07,287.56
2025-04-08,282.03
2025-04-09,293.4
2025-04-10,292.46
2025-04-11,299.81
2025-04-14,296.5
2025-04-15,297.99
2025-04-16,300.8
2025-04-17,304.8
2025-04-18,300.01
2025-04-21,308.12
2025-04-22,312.25
2025-04-23,310.0
2025-04-24,310.16
2025-04-25,316.69
2025-04-28,314.23
2025-04-29,309.41
2025-04-30,307.8
2025-05-02,299.96
2025-05-05,294.64
2025-05-06,302.02
2025-05-07,302.79
2025-05-08,302.15
2025-05-12,310.81
2025-05-13,311.24
2025-05-14,304.21
2025-05-15,304.72
2025-05-16,306.34
2025-05-19,308.33
2025-05-20,306.16
2025-05-21,303.98
2025-05-22,302.66
2025-05-23,302.22
2025-05-26,297.77
2025-05-27,298.7
2025-05-28,308.47
2025-05-29,306.65
2025-05-30,309.3
2025-06-02,309.63
2025-06-03,313.55
2025-06-04,313.23
2025-06-05,317.96
2025-06-06,313.13
2025-06-09,311.17
2025-06-10,308.68
2025-06-11,312.0
2025-06-13,310.2
2025-06-16,311.5
2025-06-17,313.56
2025-06-18,313.38
2025-06-19,312.46
2025-06-20,309.7
2025-06-23,310.17
2025-06-24,311.37
2025-06-25,313.78
2025-06-26,312.84
2025-06-27,315.18
2025-06-30,316.15
2025-07-01,318.42
2025-07-02,319.43
2025-07-03,319.17
2025-07-04,319.44
2025-07-07,313.5
2025-07-08,309.71
2025-07-09,310.09
2025-07-10,314.01
2025-07-11,309.88
2025-07-14,317.97
2025-07-15,319.99
2025-07-16,321.58
2025-07-17,327.05
2025-07-18,309.0
2025-07-21,310.4
2025-07-22,310.67
2025-07-23,313.08
2025-07-24,310.83
2025-07-25,308.93
2025-07-28,303.97
2025-07-29,305.26
2025-07-30,303.3
2025-07-31,304.95
2025-08-01,304.22
2025-08-04,307.95
2025-08-05,307.38
2025-08-06,310.22
2025-08-07,313.43
2025-08-08,317.97
2025-08-11,317.82
2025-08-12,318.0
2025-08-13,317.51
2025-08-14,318.73
2025-08-15,319.4
2025-08-18,318.38
2025-08-19,316.5
2025-08-20,314.17
2025-08-21,309.98
2025-08-22,312.05
2025-08-25,311.42
2025-08-26,311.79
2025-08-27,312.78
2025-08-28,310.82
2025-08-29,310.04
2025-09-01,309.2
2025-09-02,308.44
2025-09-03,309.49
2025-09-04,308.74
2025-09-05,310.5
2025-09-08,312.83
2025-09-09,313.06
2025-09-10,309.76
2025-09-11,307.11
2025-09-12,303.5
2025-09-15,302.48
2025-09-16,301.8
2025-09-17,304.5
2025-09-18,301.68
2025-09-19,294.84
2025-09-22,298.05
2025-09-23,291.6
2025-09-24,293.31
2025-09-25,289.9
2025-09-26,291.33
2025-09-29,287.57
2025-09-30,288.36
2025-10-01,286.4
2025-10-02,285.22
2025-10-03,282.91
2025-10-06,290.56
2025-10-07,293.89
2025-10-08,281.9
2025-10-09,289.37
2025-10-10,285.12
2025-10-13,285.39
2025-10-14,283.3
2025-10-15,283.74
2025-10-16,302.91
2025-10-17,300.91
2025-10-20,304.0
2025-10-21,295.47
2025-10-22,290.02
2025-10-23,291.8
2025-10-24,287.55
2025-10-27,283.17
2025-10-28,289.46
2025-10-29,290.5
2025-10-30,296.12
2025-10-31,291.89
2025-11-01,293.7
2025-11-03,298.04
2025-11-05,295.7
2025-11-06,294.27
2025-11-07,296.84
2025-11-10,300.46
2025-11-11,301.12
2025-11-12,299.09
2025-11-13,299.09
2025-11-14,297.44
2025-11-17,294.68
2025-11-18,299.44
2025-11-19,304.75
2025-11-20,307.89
2025-11-21,306.7
2025-11-24,305.87
2025-11-25,306.6
2025-11-26,304.96
2025-11-27,299.53
2025-11-28,304.17
2025-12-01,305.2
2025-12-02,303.77
2025-12-03,302.85
2025-12-04,301.76
2025-12-05,307.22
2025-12-08,304.95
2025-12-09,306.39
2025-12-10,306.73
2025-12-11,307.19
2025-12-12,303.86
2025-12-15,305.08
2025-12-16,304.78
2025-12-17,303.5
2025-12-18,301.96
2025-12-19,299.87
2025-12-22,297.72
2025-12-23,300.65
2025-12-24,302.03
2025-12-25,300.26
2025-12-26,302.51
2025-12-29,299.7
2025-12-30,299.9
